TradeDate,Price,MarketCap,ExchangeVol,TotalVol,exchange
2015/8/9,1.33075,80339475,368070,60371576.18,276588.39
2015/8/10,0.687585709,41556309.21,400464.0745,60438006,582420.5903
2015/8/11,1.067378879,64539006.31,1518998.205,60464946,1423110.608
2015/8/12,1.256613175,76013261.05,2073893.345,60490581,1650383.257
2015/8/13,1.825395446,110468836.2,4380142.704,60517756,2399558.251
2015/8/14,1.825974891,110555313.3,4355618.379,60545911,2385365.977
2015/8/15,1.670949669,101215246.4,2519633.271,60573486,1507904.946
2015/8/16,1.476607254,89480939.24,3032657.656,60599011,2053801.136
2015/8/17,1.203871431,87313387.95,1880092.215,72527170,1561705.151
2015/8/18,1.281393052,92957858.06,1696013.472,72544375,1323570.055
2015/8/19,1.252738652,90920695.87,1537200.841,72577545,1227072.254
2015/8/20,1.484195074,107749185.8,2967730.502,72597725,1999555.553
2015/8/21,1.406314774,102131022.8,1742881.808,72623160,1239325.534
2015/8/22,1.380721536,100308763.8,914588.654,72649525,662399.0647
2015/8/23,1.3551821,98488001.44,1610695.873,72675105,1188545.711
2015/8/24,1.246571683,90625948.32,696476.5553,72700150,558713.6021
2015/8/25,1.160828328,84423109.08,1053169.386,72726610,907256.7929
2015/8/26,1.119639156,81454879.47,1151700.042,72751010,1028635.017
2015/8/27,1.133690694,82504022.82,681460.2394,72774720,601098.9091
2015/8/28,1.188895699,86549490.63,715178.7899,72798220,601548.8074
2015/8/29,1.174343905,85515599.87,607200.8915,72819895,517055.4289
2015/8/30,1.32235088,96321049.69,1045589.321,72840765,790704.9005
2015/8/31,1.353368417,98608290.54,1197102.049,72861380,884535.2337
2015/9/1,1.350786689,98446826.49,610368.2431,72881105,451861.3102
2015/9/2,1.278810765,93224371.26,629746.1193,72899270,492446.6829
2015/9/3,1.26277072,92075482.63,583923.7452,72915440,462414.7012
2015/9/4,1.2695201,92596631.55,333502.6612,72938295,262699.7881
2015/9/5,1.334976229,97402782.62,350815.4669,72962185,262787.8005
2015/9/6,1.298883134,94801706.71,317470.0943,72987095,244417.7509
2015/9/7,1.25622344,91718481.32,487005.2028,73011280,387674.0294
2015/9/8,1.236033261,90274690.4,419148.8018,73035810,339108.0281
2015/9/9,1.206529945,88150718.67,367774.3319,73061360,304819.8956
2015/9/10,1.167234841,85308945.82,639527.9175,73086360,547899.9555
2015/9/11,0.976509093,71394234.95,1901710.695,73111695,1947458.256
2015/9/12,1.038203585,75931677.01,800623.2998,73137560,771162.1414
2015/9/13,0.93865215,68673818.8,658895.196,73162160,701958.863
2015/9/14,0.874022962,63965969.21,739213.7259,73185685,845760.075
2015/9/15,0.941823186,68951445.23,725816.4711,73210605,770650.4595
2015/9/16,0.90321992,66147947.58,629370.0849,73235705,696807.1352
2015/9/17,0.883078729,64693831.08,910704.9512,73259415,1031283.986
2015/9/18,0.846070919,62003275.12,478606.3969,73283780,565681.1813
2015/9/19,0.8821038,64666306.23,387803.6167,73309180,439634.9009
2015/9/20,0.936327761,68666556.12,514836.1086,73336025,549846.0369
2015/9/21,0.901092879,66105164.81,429253.5043,73361100,476369.8774
2015/9/22,0.897142265,65835322.78,485738.9554,73383370,541429.1293
2015/9/23,0.894047522,65633959.75,204065.4059,73412160,228248.9475
2015/9/24,0.816037308,59927327.71,818263.0682,73436995,1002727.523
2015/9/25,0.7405193,54400658.25,901151.619,73462850,1216918.477
2015/9/26,0.777801499,57158415.44,379124.1859,73487150,487430.5159
2015/9/27,0.721358423,53028193.82,408380.639,73511575,566127.2205
2015/9/28,0.583057005,42874816.97,1214056.212,73534520,2082225.583
2015/9/29,0.65783249,48389042.9,936630.3296,73558305,1423812.815
2015/9/30,0.734763054,54065419.51,640217.6226,73582115,871325.2784
2015/10/1,0.68581219,50481342.53,588839.7815,73608115,858602.0927
2015/10/2,0.676221734,49792779.29,220969.485,73633805,326770.7527
2015/10/3,0.687475758,50638684.02,163820.8535,73658865,238293.2803
2015/10/4,0.667546858,49187272.35,104370.4507,73683625,156349.2502
2015/10/5,0.628255074,46307572.65,221647.2071,73708235,352798.117
2015/10/6,0.645657762,47605896.39,268523.0379,73732400,415890.6679
2015/10/7,0.610012697,44984157.19,216715.5068,73742985,355263.9279
2015/10/8,0.623483302,45977519.8,310876.1441,73742985,498611.8202
2015/10/9,0.650768765,47989631.25,379233.122,73742985,582746.3492
2015/10/10,0.629794942,46490996.55,145554.9381,73819260,231114.8096
2015/10/11,0.637043981,47026115.24,87074.79962,73819260,136685.6955
2015/10/12,0.628787282,46416611.84,108895.5292,73819260,173183.4156
2015/10/13,0.602627272,44485499.3,297117.0771,73819260,493036.228
2015/10/14,0.517689436,38272635.02,944847.8047,73929720,1825124.754
2015/10/15,0.561499004,41527413.54,376563.0715,73958125,670638.8948
2015/10/16,0.53314802,39443831.32,247071.2472,73982890,463419.6094
2015/10/17,0.549028309,40632190.62,317377.7618,74007460,578071.7617
2015/10/18,0.518444547,38382124.42,133661.6705,74033230,257812.8582
2015/10/19,0.487067298,36070935.31,240250.3766,74057395,493259.0991
2015/10/20,0.432978599,32076052.63,352361.0619,74082305,813807.109
2015/10/21,0.439768974,32590298.01,599041.0132,74107770,1362172.069
2015/10/22,0.565461507,41918540.78,979304.0724,74131555,1731866.909
2015/10/23,0.540737767,40100107.01,866798.4889,74158140,1602992.322
2015/10/24,0.568573769,42179070.76,259157.6624,74183990,455803.0576
2015/10/25,0.631938809,46895926.26,476617.7386,74209600,754215.0155
2015/10/26,0.74395791,55226993.79,1174026.819,74234030,1578082.312
2015/10/27,0.85445525,63451496.57,1887568.906,74259590,2209090.419
2015/10/28,1.010409721,75057962.81,2447633.798,74284680,2422417.112
2015/10/29,1.163748636,86478981.55,2236842.21,74310705,1922100.822
2015/10/30,1.041849055,77447839.43,2384549.998,74336910,2288767.251
2015/10/31,0.907091628,67453442.48,652271.5873,74362325,719080.1537
2015/11/1,1.058541941,78742733.25,603996.199,74387920,570592.6006
2015/11/2,0.95504586,71066352.06,970665.6783,74411455,1016355.045
2015/11/3,1.002344803,74613449.56,1878273.011,74438905,1873879.134
2015/11/4,0.901808661,67152505.55,3218064.881,74464250,3568456.392
2015/11/5,0.906601137,67532501.1,1202885.38,74489760,1326807.712
2015/11/6,0.909442199,67767390.1,913629.1697,74515335,1004603.889
2015/11/7,0.922482091,68761146.28,904631.87,74539275,980649.7913
2015/11/8,1.030499514,76839299.32,1040086.755,74565100,1009303.489
2015/11/9,0.995802985,74277547.08,1972521.387,74590605,1980834.981
2015/11/10,0.934834222,69753492.14,865031.5412,74615895,925331.4875
2015/11/11,0.788761177,58873875.71,1243322.753,74640940,1576298.111
2015/11/12,0.900742067,67254888.2,826829.6689,74666090,917942.771
2015/11/13,0.904081558,67527257.41,545086.2659,74691555,602917.1385
2015/11/14,0.884228905,66066714.49,361586.116,74716755,408928.1791
2015/11/15,0.910825548,68078325.79,432023.4078,74743540,474320.6959
2015/11/16,0.933840784,69812830.41,616346.9299,74758815,660012.8635
2015/11/17,0.995273358,74440734.3,1128249.545,74794260,1133607.703
2015/11/18,0.99442858,74402718.75,687203.3331,74819570,691053.4823
2015/11/19,0.951471289,71212297.76,434385.4815,74844400,456540.819
2015/11/20,0.926803119,69388368.58,606560.3384,74868510,654465.1458
2015/11/21,0.973572434,72914368.8,454926.919,74893625,467275.8832
2015/11/22,0.964738532,72276339.25,371962.8833,74918060,385558.2326
2015/11/23,0.945220336,70839197.82,437126.3943,74944640,462459.786
2015/11/24,0.899361135,67424299.4,354914.0862,74969105,394629.1121
2015/11/25,0.867707092,65072847.33,708867.1777,74994025,816942.9341
2015/11/26,0.894874771,67132055.61,959696.4719,75018380,1072436.617
2015/11/27,0.8707128,65341845.39,398595.4996,75044085,457780.6822
2015/11/28,0.917398775,68868768.29,465064.9387,75069610,506938.696
2015/11/29,0.871744954,65463342.97,436939.1302,75094605,501223.584
2015/11/30,0.873600932,65624853.97,775372.5406,75119945,887559.1957
2015/12/1,0.875003998,65752486.03,643109.8579,75145355,734979.3365
2015/12/2,0.822733781,61844779.03,494205.8928,75169855,600687.4936
2015/12/3,0.824765189,62018808.09,541681.1369,75195715,656770.1258
2015/12/4,0.838790951,63094325.08,241947.4944,75220560,288447.9072
2015/12/5,0.86458373,65056337.64,226084.4107,75245850,261495.102
2015/12/6,0.834992487,62850264.42,429681.2895,75270455,514593.0008
2015/12/7,0.800750284,60292476.61,494657.618,75294980,617742.6694
2015/12/8,0.818852709,61675859.11,435966.8088,75319845,532411.7561
2015/12/9,0.791829348,59661067.18,627128.926,75345865,792000.104
2015/12/10,0.847442242,63872552.28,374543.0059,75370980,441968.7707
2015/12/11,0.916738942,69119370.63,765839.8738,75397005,835395.813
2015/12/12,0.97125831,73250296.07,1385279.044,75417935,1426272.527
2015/12/13,0.958303174,72302484.28,279257.6104,75448445,291408.4164
2015/12/14,0.995489835,75133022.4,562723.386,75473420,565272.8599
2015/12/15,1.0170637,76787012.6,573171.6205,75498725,563555.2822
2015/12/16,0.988912442,74686005.23,207316.9873,75523375,209641.3985
2015/12/17,0.940228325,71033582.41,641112.3505,75549290,681868.7902
2015/12/18,0.921171783,69616990.99,297866.3971,75574385,323355.9718
2015/12/19,0.909632917,68767429.85,333313.4238,75599100,366426.2996
2015/12/20,0.903231643,68305705.25,467489.5933,75623685,517574.4195
2015/12/21,0.896806287,67842615.39,543846.3978,75649130,606425.7194
2015/12/22,0.878959313,66514758.19,468144.5604,75674445,532612.3217
2015/12/23,0.867565455,65674405.65,333657.8603,75699655,384590.9935
2015/12/24,0.861363016,65226512,353090.3404,75724765,409920.4793
2015/12/25,0.870718344,65957619.84,169208.7605,75750810,194332.3713
2015/12/26,0.853017865,64637552.4,424123.0967,75775145,497203.0647
2015/12/27,0.858887087,65104495.78,208247.2187,75800995,242461.6947
2015/12/28,0.842169613,63858382.55,228592.5876,75826035,271432.9561
2015/12/29,0.869487811,65951485.16,211396.5675,75850960,243127.6952
2015/12/30,0.900354302,68315404.55,584414.4706,75876135,649093.8837
2015/12/31,0.936539968,71083912.7,668846.0704,75900565,714167.14
2016/1/1,0.946313343,71849843.67,202032.1334,75926060,213493.9076
2016/1/2,0.938126162,71252107.97,252880.2353,75951520,269558.8776
2016/1/3,0.972196976,73864483.22,402755.9084,75976870,414273.9777
2016/1/4,0.959297835,72909192.01,341506.8214,76002665,355996.656
2016/1/5,0.953102241,72462361.88,217443.2381,76027900,228142.6155
2016/1/6,0.968434012,73650960.93,328507.1524,76051605,339214.8028
2016/1/7,0.95897678,72931723.31,642269.5176,76051605,669744.5976
2016/1/8,0.995574781,75767382.44,554403.4018,76104160,556867.6632
2016/1/9,1.024780968,78016544.33,254045.6291,76129970,247902.3684
2016/1/10,1.019965856,77676004.65,404315.935,76155495,396401.4409
2016/1/11,1.068726621,81416101.64,1025253.038,76180475,959322.0734
2016/1/12,1.167362901,88958959.9,2962550.395,76205060,2537814.413
2016/1/13,1.129588346,86108971.48,1003321.36,76230400,888218.5829
2016/1/14,1.157377553,88257219.96,731050.8484,76256205,631644.2258
2016/1/15,1.210735463,92329493.83,4049516.212,76259015,3344674.651
2016/1/16,1.215691295,92765190.35,2377737.143,76306535,1955872.476
2016/1/17,1.321855712,100866229.1,1176009.007,76306535,889665.1853
2016/1/18,1.398301127,106770205,4073710.12,76357090,2913328.21
2016/1/19,1.376990019,105177492.6,1684557.291,76382175,1223362.02
2016/1/20,1.565411905,119608403.9,2899771.051,76406985,1852401.302
2016/1/21,1.544691862,118064297.8,1670627.322,76432265,1081527.885
2016/1/22,1.471341823,112494896.7,1585027.992,76457350,1077267
2016/1/23,1.692156285,129390552.7,2212028.797,76464895,1307224.88
2016/1/24,2.131691495,163090024.7,9578400.619,76507330,4493333.412
2016/1/25,2.481396086,189898537.8,10884776.21,76528910,4386553.308
2016/1/26,2.086782727,159744115.1,11669540.23,76550430,5592120.387
2016/1/27,2.384501159,182534589,7048626.219,76550430,2956017.108
2016/1/28,2.519719735,193030853.2,5043090.698,76608065,2001449.061
2016/1/29,2.486203232,190524391.8,6527897.662,76632670,2625649.254
2016/1/30,2.437601274,186862759.7,3674090.398,76658460,1507256.514
2016/1/31,2.298766557,176275775.7,5834817.707,76682765,2538238.469
2016/2/1,2.221883059,170434539.3,3991411.341,76707250,1796409.278
2016/2/2,2.403111855,184396131.6,3602402.308,76732230,1499057.275
2016/2/3,2.515949933,193120920.4,4030697.339,76758650,1602057.849
2016/2/4,2.557178944,196350197.9,3532651.02,76783910,1381464.144
2016/2/5,2.532878565,194548161,2640353.615,76809115,1042431.979
2016/2/6,2.517776369,193450250.5,1924574.718,76833770,764394.6228
2016/2/7,2.950776113,226795324.2,7099203.552,76859550,2405876.719
2016/2/8,3.165335694,243366581.6,9781404.737,76884920,3090163.472
2016/2/9,3.720453287,286139281,16355217.95,76909790,4396028.303
2016/2/10,4.427431438,340624194.2,29316397.61,76934945,6621536.216
2016/2/11,6.005000308,462140079.8,28752968.92,76959210,4788171.098
2016/2/12,5.475649284,421542668.5,9902598.244,76984965,1808479.274
2016/2/13,5.373284922,413798928.6,25637385.48,77010420,4771268.573
2016/2/14,5.169512436,398234915.5,11552061.71,77035295,2234652.079
2016/2/15,5.319058286,409885035.8,13786358.78,77059700,2591879.622
2016/2/16,4.368970122,336781865.3,15444552.59,77084955,3535055.667
2016/2/17,3.744022471,288700599.3,14847989.05,77109740,3965785.239
2016/2/18,4.397939042,339233532.7,17707643.87,77134660,4026350.457
2016/2/19,4.493895383,346746765.7,7215680.132,77159510,1605662.686
2016/2/20,4.301875678,332040532.3,8703306.941,77185060,2023142.367
2016/2/21,4.653970273,359334417.7,6458218.233,77210295,1387679.305
2016/2/22,5.608714258,433193897.2,15140246.89,77235865,2699414.909
2016/2/23,5.61209144,433593972.8,13534870.66,77260675,2411733.808
2016/2/24,6.134381259,474102955.5,11396482.66,77286190,1857804.753
2016/2/25,5.936257433,458942242.8,20614025.81,77311715,3472562.645
2016/2/26,5.897351626,456082096.9,9515283.257,77336765,1613484.13
2016/2/27,6.357091762,491795616.5,8967228.052,77361730,1410586.537
2016/2/28,6.440650849,498424354,9683081.006,77387265,1503432.065
2016/2/29,6.312028458,488620056.2,7546069.554,77410940,1195506.263
2016/3/1,7.56015705,585403826.4,20945587.17,77432760,2770522.759
2016/3/2,8.398318163,650547162.2,29743237.91,77461600,3541570.745
